"","시도명","시군구명","도로종류","도로노선번호","도로노선명","도로노선방향","소재지도로명주소","소재지지번주소","위도"
"10917","경상북도","포항남부","시도","","청송로",1,"경상북도 포항시 남구 동해면 블루밸리8길 16","경상북도 포항시 남구 동해면 공당리 300",35.96412614
"10918","경상북도","포항남부","시도","","동해대로",2,"","경상북도 포항시 남구 구룡포읍 성동리 산 103",35.95396186
"10919","경상북도","포항남부","시도","","선산대로",1,"경상북도 포항시 남구 동해면 블루밸리로 501","경상북도 포항시 남구 동해면 중산리 산 23-1",35.97124674
"10920","경상북도","포항남부","시도","","공단로",2,"경상북도 경주시 양남면 하서중앙길 73","경상북도 경주시 양남면 하서리 488-2",35.67723691
"10921","경상북도","경주","일반국도","31호","나아봉길로",2,"경상북도 안동시 일직면 성남길 110","경상북도 안동시 일직면 망호리 814-2",36.46087653
"10922","경상북도","안동","일반국도","5호","성남길",2,"경상북도 안동시 하이마로 34","경상북도 안동시 송현동 664-17",36.57191798
"10923","경상북도","안동","시도","","하이마로",2,"경상북도 예천군 호명면 행복로 146","경상북도 예천군 호명면 산합리 1255",36.57792501
"10924","경상북도","예천","시도","","행복로",1,"경상북도 영천시 임고면 양항3길 7","경상북도 영천시 임고면 양항리 277-3",36.00993724
"10925","경상북도","영천","시도","","포스코대로",2,"경상북도 영천시 임고면 양항3길 7","경상북도 영천시 임고면 양항리 277-3",36.00993724
"10926","경상북도","영천","시도","","철강로",1,"","경상북도 영천시 임고면 매호리 415-7",35.99297223
"10927","경상북도","영천","시도","","희망대로",2,"경상북도 영천시 호국로 236","경상북도 영천시 조교동 401-1",35.97787511
"10928","경상북도","영천","시도","","새천년대로",1,"경상북도 경산시 와촌면 갓바위로 4","경상북도 경산시 와촌면 신한리 276-6",35.95928222
"10929","경상북도","경산","시도","","송덕로",1,"경상북도 경산시 하양읍 대경로 703","경상북도 경산시 하양읍 금락리 116-165",35.91034852
"10930","경상북도","경산","기타","","의상로",1,"경상북도 경산시 자인면 계남길 9","경상북도 경산시 자인면 서부리 310",35.81504877
"10931","경상북도","경산","일반국도","919호","천문로",2,"경상북도 경산시 들뫼길 141","경상북도 경산시 점촌동 227-1",35.80038304
"10932","경상북도","칠곡","일반국도","4호","칠곡대로",2,"경상북도 영천시 영천아이시로 61","경상북도 영천시 봉동 310-1",35.93350483
"10933","경상북도","영천","시도","","영천아이시로",2,"경상북도 영천시 고경면 호국로 488","경상북도 영천시 고경면 창하리 374-12",35.98514803
